Symbol,Name,Country,Sector,Industry
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,,Finance,Blank Checks
AGCO,AGCO Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AGI,Alamos Gold Inc. Class A Common Shares,Canada,Basic Materials,Precious Metals
AGL,agilon health inc. Common Stock,United States,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States,,
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,United States,Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,Luxembourg,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,United States,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti Inc. Common Stock,United States,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction
AHH,Armada Hoffler Properties Inc. Common Stock,United States,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHT,Ashford Hospitality Trust Inc Common Stock,United States,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,
AI,C3.ai Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,Real Estate,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,United States,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States,,
AIN,Albany International Corporation Common Stock,United States,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,Finance,Finance/Investors Services
AIR,AAR Corp. Common Stock,United States,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc. Common Stock,United States,Consumer Discretionary,Industrial Specialties
AIU,Meta Data Limited ADS,,Consumer Discretionary,Educational Services
AIV,Apartment Investment and Management Company Common Stock,United States,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers
AJX,Great Ajax Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,,Consumer Discretionary,Catalog/Specialty Distribution
AKO/A,Embotelladora Andina S.A.,Chile,,
AKO/B,Embotelladora Andina S.A.,Chile,,
AKR,Acadia Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
AL,Air Lease Corporation Class A Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,
ALB,Albemarle Corporation Common Stock,United States,Industrials,Major Chemicals
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,Ophthalmic Goods
ALCC,AltC Acquisition Corp. Class A Common Stock,,Finance,Blank Checks
ALE,Allete Inc.,United States,Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,Real Estate,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
ALIT,Alight Inc. Class A Common Stock,United States,Technology,EDP Services
ALK,Alaska Air Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,United States,Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,United States,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,United States,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,United States,,
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,United States,,
ALLE,Allegion plc Ordinary Shares,United States,Consumer Discretionary,Diversified Commercial Services
ALLG,Allego N.V. Ordinary Share,Netherlands,Consumer Discretionary,Other Specialty Stores
ALLY,Ally Financial Inc. Common Stock,United States,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A Common Stock,United States,Industrials,Industrial Machinery/Components
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),United States,,
ALUR,Allurion Technologies Inc. Common Stock,,,
ALV,Autoliv Inc. Common Stock,Sweden,Consumer Discretionary,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,United States,Utilities,Natural Gas Distribution
AMBC,Ambac Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,,Industrials,Containers/Packaging
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,,Consumer Discretionary,Miscellaneous manufacturing industries
AME,AMETEK Inc.,United States,Industrials,Industrial Machinery/Components
AMG,Affiliated Managers Group Inc. Common Stock,United States,Finance,Investment Managers
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,United States,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,United States,,
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,Finance,Investment Managers
AMN,AMN Healthcare Services Inc,United States,Consumer Discretionary,Professional Services
AMP,Ameriprise Financial Inc. Common Stock,United States,Finance,Investment Managers
AMPS,Altus Power Inc. Class A Common Stock,,Utilities,Electric Utilities: Central
AMPX,Amprius Technologies Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components
AMPY,Amplify Energy Corp. Common Stock,United States,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,United States,Consumer Discretionary,Engineering & Construction
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMT,American Tower Corporation (REIT) Common Stock,United States,Real Estate,Real Estate Investment Trusts
AMTD,AMTD IDEA Group American Depositary Shares each representing two Class A Ordinary Shares,,Finance,Finance: Consumer Services
AMWL,American Well Corporation Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Mexico,Telecommunications,Telecommunications Equipment
AN,AutoNation Inc. Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANET,Arista Networks Inc. Common Stock,United States,Telecommunications,Computer Communications Equipment
ANF,Abercrombie & Fitch Company Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANVS,Annovis Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AON,Aon plc Class A Ordinary Shares (Ireland),United States,Finance,Specialty Insurers
AORT,Artivion Inc. Common Stock,United States,,
AOS,A.O. Smith Corporation Common Stock,United States,Consumer Discretionary,Consumer Electronics/Appliances
AP,Ampco-Pittsburgh Corporation Common Stock,United States,Industrials,Fluid Controls
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,Finance,Investment Managers
APCA,AP Acquisition Corp Class A Ordinary Shares,,Finance,Blank Checks
APD,Air Products and Chemicals Inc. Common Stock,United States,Industrials,Major Chemicals
APE,AMC Entertainment Holdings Inc. AMC Preferred Equity Units each constituting a depositary share representing a 1/100th interest in a share of Series A Convertible Participating Preferred Stock,United States,Consumer Discretionary,Movies/Entertainment
APG,APi Group Corporation Common Stock,,Consumer Discretionary,Engineering & Construction
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,,Finance,Blank Checks
APH,Amphenol Corporation Common Stock,United States,Technology,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,United States,Real Estate,Real Estate Investment Trusts
APO,Apollo Global Management Inc. (New) Common Stock,,Finance,Investment Managers
APO^A,Apollo Global Management Inc. 6.75% Series A Mandatory Convertible Preferred Stock,,,
APRN,Blue Apron Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
APTV,Aptiv PLC Ordinary Shares,United Kingdom,Consumer Discretionary,Auto Parts:O.E.M.
AQN,Algonquin Power & Utilities Corp. Common Shares,United States,Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,United States,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,United States,Utilities,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,United States,Utilities,Electric Utilities: Central
AR,Antero Resources Corporation Common Stock,United States,Energy,Oil & Gas Production
ARC,ARC Document Solutions Inc. Common Stock,United States,Consumer Discretionary,Professional Services
ARCH,Arch Resources Inc. Class A Common Stock,United States,Energy,Coal Mining
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Argentina,Consumer Discretionary,Restaurants
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,Finance,Investment Managers
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,United States,Finance,Investment Managers
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,Bermuda,Finance,Specialty Insurers
ARGO,Argo Group International Holdings Ltd.,Bermuda,Finance,Specialty Insurers
ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,Bermuda,,
ARI,Apollo Commercial Real Estate Finance Inc,United States,Real Estate,Real Estate Investment Trusts
ARIS,Aris Water Solutions Inc. Class A Common Stock,United States,Utilities,Water Supply
ARL,American Realty Investors Inc. Common Stock,United States,Consumer Discretionary,Educational Services
ARLO,Arlo Technologies Inc. Common Stock,United States,Consumer Staples,Consumer Electronics/Appliances
ARMK,Aramark Common Stock,United States,Consumer Discretionary,Restaurants
AROC,Archrock Inc. Common Stock,United States,Energy,Oil & Gas Production
ARR,ARMOUR Residential REIT Inc.,United States,Real Estate,Real Estate Investment Trusts
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),United States,,
ARW,Arrow Electronics Inc. Common Stock,United States,Technology,Electronic Components
ASA,ASA  Gold and Precious Metals Limited,United States,Industrials,Precious Metals
ASAI,Sendas Distribuidora S A ADS,,Consumer Staples,Food Chains
ASAN,Asana Inc. Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
ASB,Associated Banc-Corp Common Stock,United States,Finance,Major Banks
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,United States,,
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,United States,,
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,United States,Finance,Major Banks
ASC,Ardmore Shipping Corporation Common Stock,,Consumer Discretionary,Marine Transportation
ASG,Liberty All-Star Growth Fund Inc.,United States,Finance,Investment Managers
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,,Finance,Investment Managers
ASGN,ASGN Incorporated Common Stock,United States,Consumer Discretionary,Professional Services
ASH,Ashland Inc. Common Stock,United States,Consumer Discretionary,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,United States,Industrials,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Mexico,Consumer Discretionary,Aerospace
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,Taiwan,Technology,Semiconductors
ATCO^D,Atlas Corp. 7.95% Series D,United Kingdom,,
ATCO^H,Atlas Corp. 7.875% Series H,United Kingdom,,
ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,United Kingdom,,
ATEN,A10 Networks Inc. Common Stock,United States,Technology,EDP Services
ATGE,Adtalem Global Education Inc. Common Stock,United States,Consumer Discretionary,Educational Services
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,Bermuda,,
ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,Bermuda,,
ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C,Bermuda,,
ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,Bermuda,,
ATH^E,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share Series E,Bermuda,,
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,China,Technology,EDP Services
ATI,ATI Inc. Common Stock,United States,Industrials,Steel/Iron Ore
ATIP,ATI Physical Therapy Inc. Class A Common Stock,,Health Care,Hospital/Nursing Management
ATKR,Atkore Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components
ATMU,Atmus Filtration Technologies Inc. Common Stock,,Consumer Discretionary,Auto Parts:O.E.M.
ATO,Atmos Energy Corporation Common Stock,United States,Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,United States,Industrials,Plastic Products
ATS,ATS Corporation Common Shares,,Industrials,Industrial Machinery/Components
ATUS,Altice USA Inc. Class A Common Stock,United States,Telecommunications,Telecommunications Equipment
AU,AngloGold Ashanti Limited Common Stock,South Africa,Basic Materials,Precious Metals
AUB,Atlantic Union Bankshares Corporation Common Stock,United States,Finance,Major Banks
AUB^A,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A,United States,,
AVA,Avista Corporation Common Stock,United States,Utilities,Power Generation
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),,Finance,Commercial Banks
AVB,AvalonBay Communities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,Industrials,Agricultural Chemicals
AVK,Advent Convertible and Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable
AVNS,Avanos Medical Inc. Common Stock,United States,Health Care,Industrial Specialties
AVNT,Avient Corporation Common Stock,United States,Industrials,Major Chemicals
AVTR,Avantor Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
AVY,Avery Dennison Corporation Common Stock,United States,Consumer Discretionary,Containers/Packaging
AWF,Alliancebernstein Global High Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable
AWI,Armstrong World Industries Inc Common Stock,United States,Industrials,Plastic Products
AWK,American Water Works Company Inc. Common Stock,United States,Utilities,Water Supply
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AWR,American States Water Company Common Stock,United States,Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,United States,Finance,Savings Institutions
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
AXP,American Express Company Common Stock,United States,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,United States,Real Estate,Homebuilding
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,Finance,Property-Casualty Insurers
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,Bermuda,,
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,Consumer Discretionary,Paints/Coatings
AYI,Acuity Brands Inc. ,United States,Consumer Discretionary,Building Products
AYX,Alteryx Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,United States,Industrials,Plastic Products
AZO,AutoZone Inc. Common Stock,United States,Consumer Discretionary,Auto & Home Supply Stores
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,Consumer Discretionary,Air Freight/Delivery Services
AZZ,AZZ Inc.,United States,Industrials,Industrial Specialties
B,Barnes Group Inc. Common Stock,United States,Industrials,Metal Fabrications
BA,Boeing Company (The) Common Stock,United States,Industrials,Aerospace
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,Consumer Discretionary,Catalog/Specialty Distribution
BAC,Bank of America Corporation Common Stock,United States,Finance,Major Banks
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,United States,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,United States,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,United States,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,United States,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,United States,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,United States,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,United States,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,United States,,
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,United States,,
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,United States,,
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,Consumer Discretionary,Professional Services
BAK,Braskem SA ADR,Brazil,Industrials,Major Chemicals
BALL,Ball Corporation Common Stock,United States,Industrials,Containers/Packaging
BALY,Bally's Corporation Common Stock,United States,Consumer Discretionary,Hotels/Resorts
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,,Consumer Discretionary,Other Consumer Services
BANC,Banc of California Inc. Common Stock,United States,Finance,Major Banks
BAP,Credicorp Ltd. Common Stock,Peru,Finance,Commercial Banks
