Symbol,Name,Country,Sector,Industry,float shares
MGM,MGM Resorts International Common Stock,United States,Consumer Discretionary,Hotels/Resorts,283890412.0
MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,United States,Finance,Investment Managers,
MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,United States,Finance,Investment Managers,
MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,United States,Finance,Investment Managers,
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,United States,Energy,Oil & Gas Production,185663862.0
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,United States,Finance,Finance/Investors Services,
MHI,Pioneer Municipal High Income Fund Inc.,United States,Finance,Investment Managers,
MHK,Mohawk Industries Inc. Common Stock,United States,Consumer Discretionary,Home Furnishings,53224909.0
MHLA,Maiden Holdings Ltd. 6.625% Notes due 2046,Bermuda,Finance,Property-Casualty Insurers,
MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MHNC,Maiden Holdings North America Ltd. 7.75% Notes due 2043,Bermuda,Finance,Property-Casualty Insurers,
MHO,M/I Homes Inc. Common Stock,United States,Consumer Discretionary,Homebuilding,27161863.0
MIN,MFS Intermediate Income Trust Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
MIR,Mirion Technologies Inc. Class A Common Stock,United States,Technology,Industrial Machinery/Components,148391047.0
MITT,AG Mortgage Investment Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,16949187.0
MIXT,MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares,South Africa,Technology,Computer Software: Prepackaged Software,14631463.0
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MKC,McCormick & Company Incorporated Common Stock,United States,Consumer Staples,Packaged Foods,264231855.0
MKFG,Markforged Holding Corporation Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,88707650.0
MKL,Markel Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers,12527649.0
ML,MoneyLion Inc. Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,5342512.0
MLI,Mueller Industries Inc. Common Stock,United States,Industrials,Metal Fabrications,55277559.0
MLM,Martin Marietta Materials Inc. Common Stock,United States,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),58206588.0
MLNK,MeridianLink Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,15615743.0
MLP,Maui Land & Pineapple Company Inc. Common Stock,United States,Finance,Real Estate,6890128.0
MLR,Miller Industries Inc. Common Stock,United States,Consumer Discretionary,Construction/Ag Equipment/Trucks,10984381.0
MMC,Marsh & McLennan Companies Inc. Common Stock,United States,Finance,Specialty Insurers,493118947.0
MMD,MainStay MacKay DefinedTerm Municipal Opportunities Fund,United States,Finance,Investment Managers,
MMI,Marcus & Millichap Inc. Common Stock,United States,Finance,Real Estate,23917663.0
MMM,3M Company Common Stock,United States,Health Care,Medical/Dental Instruments,551495637.0
MMP,Magellan Midstream Partners L.P. Limited Partnership,United States,Energy,Natural Gas Distribution,201273071.0
MMS,Maximus Inc. Common Stock,United States,Consumer Discretionary,Business Services,60145393.0
MMT,MFS Multimarket Income Trust Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
MMU,Western Asset Managed Municipals Fund Inc. Common Stock,United States,Finance,Investment Managers,
MNP,Western Asset Municipal Partners Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
MNSO,MINISO Group Holding Limited American Depositary Shares each representing four Ordinary Shares,China,Consumer Discretionary,Department/Specialty Retail Stores,92887222.0
MO,Altria Group Inc.,United States,Health Care, Medicinal Chemicals and Botanical Products ,1772515945.0
MOD,Modine Manufacturing Company Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.,51120476.0
MODG,Topgolf Callaway Brands Corp. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys,142899625.0
MODN,Model N Inc. Common Stock,United States,Technology,EDP Services,35065244.0
MOH,Molina Healthcare Inc Common Stock,United States,Health Care,Medical Specialities,57635963.0
MOS,Mosaic Company (The) Common Stock,United States,Industrials,Agricultural Chemicals,329987277.0
MOV,Movado Group Inc. Common Stock,United States,Consumer Discretionary,Consumer Specialties,
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,United States,Finance,Finance Companies,
MPC,Marathon Petroleum Corporation Common Stock,United States,Energy,Integrated oil Companies,398972388.0
MPLX,MPLX LP Common Units Representing Limited Partner Interests,United States,Energy,Natural Gas Distribution,352268142.0
MPV,Barings Participation Investors Common Stock,United States,Finance,Finance Companies,
MPW,Medical Properties Trust Inc. common stock,United States,Real Estate,Real Estate Investment Trusts,588454592.0
MPX,Marine Products Corporation Common Stock,United States,Industrials,Marine Transportation,10946288.0
MQT,Blackrock MuniYield Quality Fund II Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MQY,Blackrock MuniYield Quality Fund Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MRC,MRC Global Inc. Common Stock,United States,Industrials,Industrial Machinery/Components,81115123.0
MRK,Merck & Company Inc. Common Stock (new),United States,Health Care,Biotechnology: Pharmaceutical Preparations,2534552269.0
MRO,Marathon Oil Corporation Common Stock,United States,Energy,Oil & Gas Production,604045765.0
MS,Morgan Stanley Common Stock,United States,Finance,Investment Bankers/Brokers/Service,1274737529.0
MSA,MSA Safety Incorporated Common Stock,United States,Health Care,Industrial Specialties,36814758.0
MSB,Mesabi Trust Common Stock,United States,Industrials,Precious Metals,13108858.0
MSCI,MSCI Inc. Common Stock,United States,Consumer Discretionary,Business Services,76580739.0
MSD,Morgan Stanley Emerging Markets Debt Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
MSGE,Madison Square Garden Entertainment Corp. Class A Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,29967436.0
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,16500038.0
MSI,Motorola Solutions Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment,166398319.0
MSM,MSC Industrial Direct Company Inc. Common Stock,United States,Industrials,Industrial Machinery/Components,46207105.0
MT,Arcelor Mittal NY Registry Shares NEW,Luxembourg,Industrials,Steel/Iron Ore,1015703023.0
MTB,M&T Bank Corporation Common Stock,United States,Finance,Major Banks,164951285.0
MTBL,Moatable Inc. American Depositary Share (each representing forty-five (45) Class A Ordinary Shares),China,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,900277.0
MTD,Mettler-Toledo International Inc. Common Stock,Switzerland,Industrials,Biotechnology: Laboratory Analytical Instruments,21524601.0
MTDR,Matador Resources Company Common Stock,United States,Energy,Oil & Gas Production,114518149.0
MTG,MGIC Investment Corporation Common Stock,United States,Finance,Property-Casualty Insurers,279042760.0
MTH,Meritage Homes Corporation Common Stock,United States,Consumer Discretionary,Homebuilding,36066359.0
MTN,Vail Resorts Inc. Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,35014054.0
MTR,Mesa Royalty Trust Common Stock,United States,Energy,Oil & Gas Production,1863515.0
MTRN,Materion Corporation,United States,Industrials,Industrial Specialties,20432867.0
MTW,Manitowoc Company Inc. (The) Common Stock,United States,Industrials,Construction/Ag Equipment/Trucks,34309141.0
MTX,Minerals Technologies Inc. Common Stock,United States,Industrials,Major Chemicals,32049414.0
MTZ,MasTec Inc. Common Stock,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction,60661667.0
MUA,Blackrock MuniAssets Fund Inc Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MUC,Blackrock MuniHoldings California Quality Fund Inc.  Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MUE,Blackrock MuniHoldings Quality Fund II Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Japan,Finance,Commercial Banks,10413554977.0
MUI,BlackRock Municipal Income Fund Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MUJ,Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MUR,Murphy Oil Corporation Common Stock,United States,Energy,Oil & Gas Production,147790099.0
MUSA,Murphy USA Inc. Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,19516450.0
MUX,McEwen Mining Inc. Common Stock,Canada,Basic Materials,Precious Metals,39186561.0
MVF,Blackrock MuniVest Fund Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MVO,MV Oil Trust Units of Beneficial Interests,United States,Energy,Oil & Gas Production,7608860.0
MVT,Blackrock MuniVest Fund II Inc.  Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MWA,MUELLER WATER PRODUCTS Common Stock,United States,Industrials,Metal Fabrications,153895621.0
MX,Magnachip Semiconductor Corporation Common Stock,Luxembourg,Technology,Semiconductors,37071752.0
MXE,Mexico Equity and Income Fund Inc. (The) Common Stock,United States,Finance,Finance Companies,
MXF,Mexico Fund Inc. (The) Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
MYD,Blackrock MuniYield Fund Inc.  Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MYE,Myers Industries Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.,36296419.0
MYI,Blackrock MuniYield Quality Fund III Inc Common Stock,United States,Finance,Investment Bankers/Brokers/Service,
MYN,Blackrock MuniYield New York Quality Fund Inc.Common Stock,United States,Finance,Finance Companies,
NABL,N-able Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,69340314.0
NAC,Nuveen California Quality Municipal Income Fund,United States,Finance,Investment Managers,
NAD,Nuveen Quality Municipal Income Fund Common Stock,United States,Finance,Investment Managers,
NAN,Nuveen New York Quality Municipal Income Fund Common Stock,United States,Finance,Investment Managers,
NAPA,The Duckhorn Portfolio Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution),42693287.0
NAT,Nordic American Tankers Limited Common Stock,Bermuda,Consumer Discretionary,Marine Transportation,202478264.0
NAZ,Nuveen Arizona Quality Municipal Income Fund Common Stock,United States,Finance,Finance/Investors Services,
NBB,Nuveen Taxable Municipal Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance Companies,
NBHC,National Bank Holdings Corporation Common Stock,United States,Finance,Major Banks,36943756.0
NBR,Nabors Industries Ltd.,Bermuda,Energy,Oil & Gas Production,9007543.0
NC,NACCO Industries Inc. Common Stock,United States,Energy,Coal Mining,3637876.0
NCA,Nuveen California Municipal Value Fund,United States,Finance,Investment Managers,
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,United States,Consumer Discretionary,Marine Transportation,422288227.0
NCR,NCR Corporation Common Stock,United States,Miscellaneous,Office Equipment/Supplies/Services,138487792.0
NCV,Virtus Convertible & Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance Companies,
NCZ,Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,United States,Finance,Finance Companies,
NDP,Tortoise Energy Independence Fund Inc. Common Stock,United States,Finance,Finance/Investors Services,
NEA,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,United States,Finance,Finance/Investors Services,
NEE,NextEra Energy Inc. Common Stock,United States,Utilities,Electric Utilities: Central,2019261826.0
NEM,Newmont Corporation,United States,Basic Materials,Precious Metals,793039663.0
NEP,NextEra Energy Partners LP Common Units representing limited partner interests,United States,Utilities,Electric Utilities: Central,92351523.0
NET,Cloudflare Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,289951248.0
NETI,Eneti Inc. Common Stock,Monaco,Consumer Discretionary,Marine Transportation,17994705.0
NEU,NewMarket Corp Common Stock,United States,Industrials,Major Chemicals,6717454.0
NEWR,New Relic Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,55084170.0
NEX,NexTier Oilfield Solutions Inc. Common Stock,United States,Energy,Oilfield Services/Equipment,190619682.0
NEXA,Nexa Resources S.A. Common Shares,Luxembourg,Basic Materials,Metal Mining,45639459.0
NFG,National Fuel Gas Company Common Stock,United States,Utilities,Oil/Gas Transmission,90144522.0
NFJ,Virtus Dividend Interest & Premium Strategy Fund Common Shares of Beneficial Interest,United States,Finance,Finance: Consumer Services,
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,United Kingdom,Utilities,Natural Gas Distribution,4385553567.0
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,United States,Utilities,Natural Gas Distribution,122561821.0
NGS,Natural Gas Services Group Inc. Common Stock,United States,Energy,Oilfield Services/Equipment,8860327.0
NGVC,Natural Grocers by Vitamin Cottage Inc. Common Stock,United States,Consumer Staples,Food Chains,13587464.0
NGVT,Ingevity Corporation Common Stock ,United States,Industrials,Major Chemicals,33627506.0
NHI,National Health Investors Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,41427314.0
NI,NiSource Inc Common Stock,United States,Utilities,Power Generation,411663767.0
NIC,Nicolet Bankshares Inc. Common Stock,United States,Finance,Major Banks,12767431.0
NIE,Virtus Equity & Convertible Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers,
NIM,Nuveen Select Maturities Municipal Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
NIMC,NiSource Inc Series A Corporate Units,United States,Utilities,Power Generation,411663767.0
NINE,Nine Energy Service Inc. Common Stock,United States,Energy,Oilfield Services/Equipment,16904994.0
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,United States,Finance,Finance Companies,1267906808.0
NJR,NewJersey Resources Corporation Common Stock,United States,Utilities,Oil/Gas Transmission,97075092.0
NKE,Nike Inc. Common Stock,United States,Consumer Discretionary,Shoe Manufacturing,1207361795.0
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,United States,Finance,Finance/Investors Services,
NL,NL Industries Inc. Common Stock,United States,Industrials,Major Chemicals,8291437.0
NLS,Nautilus Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys,28312949.0
NLY,Annaly Capital Management Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,492233635.0
NM,Navios Maritime Holdings Inc. Common Stock,Monaco,Consumer Discretionary,Marine Transportation,19033237.0
NMI,Nuveen Municipal Income Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,Greece,Consumer Discretionary,Marine Transportation,22297570.0
NMR,Nomura Holdings Inc ADR American Depositary Shares,Japan,Finance,Investment Bankers/Brokers/Service,2729657518.0
NMS,Nuveen Minnesota Quality Municipal Income Fund ,United States,Finance,Finance Companies,
NMT,Nuveen Massachusetts Quality Municipal Income Fund Common Stock,United States,Finance,Finance/Investors Services,
NMZ,Nuveen Municipal High Income Opportunity Fund Common Stock $0.01 par value per share,United States,Finance,Finance/Investors Services,
NNI,Nelnet Inc. Common Stock,United States,Finance,Finance: Consumer Services,13633169.0
NNN,NNN REIT Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,181153295.0
NNY,Nuveen New York Municipal Value Fund Common Stock,United States,Finance,Investment Managers,
NOA,North American Construction Group Ltd. Common Shares (no par),Canada,Energy,Oilfield Services/Equipment,21986947.0
NOAH,Noah Holdings Limited,China,Finance,Investment Managers,31497696.0
NOC,Northrop Grumman Corporation Common Stock,United States,Industrials,Industrial Machinery/Components,150919934.0
NOG,Northern Oil and Gas Inc. Common Stock,United States,Energy,Oil & Gas Production,86107310.0
NOK,Nokia Corporation Sponsored American Depositary Shares,Finland,Technology,Radio And Television Broadcasting And Communications Equipment,4585796237.0
NOM,Nuveen Missouri Quality Municipal Income Fund ,United States,Finance,Investment Managers,
NOMD,Nomad Foods Limited Ordinary Shares,United Kingdom,Consumer Staples,Packaged Foods,142423233.0
NOTE,FiscalNote Holdings Inc. Class A common stock,United States,Technology,EDP Services,105836541.0
NOV,NOV Inc. Common Stock,United States,Industrials,Metal Fabrications,367799350.0
NOVA,Sunnova Energy International Inc. Common Stock,United States,Utilities,Power Generation,101149013.0
NOW,ServiceNow Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,203797186.0
NPK,National Presto Industries Inc. Common Stock,United States,Industrials,Ordnance And Accessories,5218361.0
NPO,EnPro Industries Inc,United States,Industrials,Metal Fabrications,20730270.0
NPV,Nuveen Virginia Quality Municipal Income Fund Common Stock,United States,Finance,Investment Managers,
NQP,Nuveen Pennsylvania Quality Municipal Income Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
NR,Newpark Resources Inc. Common Stock,United States,Industrials,Metal Fabrications,68807038.0
NRDY,Nerdy Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,57190383.0
NREF,NexPoint Real Estate Finance Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,11251061.0
NRG,NRG Energy Inc. Common Stock,United States,Utilities,Electric Utilities: Central,226633797.0
NRGV,Energy Vault Holdings Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components,79026864.0
NRK,Nuveen New York AMT-Free Quality Municipal Income Fund ,United States,Finance,Trusts Except Educational Religious and Charitable,
NRP,Natural Resource Partners LP Limited Partnership,United States,Energy,Coal Mining,8940904.0
NRT,North European Oil Royality Trust Common Stock,United States,Energy,Oil & Gas Production,9136733.0
NRUC,National Rural Utilities Cooperative Finance Corporation 5.500% Subordinated Notes due 2064 (Subordinated Deferrable Interest Notes),United States,Finance,Diversified Financial Services,
NS,Nustar Energy L.P.  Common Units,United States,Energy,Natural Gas Distribution,99961742.0
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts,82082178.0
NSC,Norfolk Southern Corporation Common Stock,United States,Industrials,Railroads,226611190.0
NSP,Insperity Inc. Common Stock,United States,Consumer Discretionary,Professional Services,36127001.0
NSS,NuStar Logistics L.P. 7.625% Fixed-to-Floating Rate Subordinated Notes due 2043,United States,Energy,Natural Gas Distribution,
NTB,Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares,Bermuda,Finance,Commercial Banks,48666195.0
NTST,NetSTREIT Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts,66710979.0
NTZ,Natuzzi S.p.A.,Italy,Consumer Discretionary,Home Furnishings,3150729.0
NU,Nu Holdings Ltd. Class A Ordinary Shares,Cayman Islands,Finance,Finance: Consumer Services,2363530053.0
NUE,Nucor Corporation Common Stock,United States,Industrials,Steel/Iron Ore,247103311.0
NUS,Nu Skin Enterprises Inc. Common Stock,United States,Health Care,Other Pharmaceuticals,49146152.0
NUV,Nuveen Municipal Value Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
NUVB,Nuvation Bio Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,130116261.0
NUW,Nuveen AMT-Free Municipal Value Fund,United States,Finance,Investment Managers,
NVG,Nuveen AMT-Free Municipal Credit Income Fund ,United States,Finance,Investment Managers,
NVGS,Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),Isle of Man,Consumer Discretionary,Marine Transportation,29107535.0
NVO,Novo Nordisk A/S Common Stock,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations,12865175616.0
NVR,NVR Inc. Common Stock,United States,Consumer Discretionary,Homebuilding,3224310.0
NVRI,Enviri Corporation Common Stock,United States,Miscellaneous,Diversified Commercial Services,78235732.0
NVRO,Nevro Corp. Common Stock,United States,Health Care,Medical/Dental Instruments,31052108.0
NVS,Novartis AG Common Stock,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations,19767842532.0
NVST,Envista Holdings Corporation Common Stock,United States,Health Care,Medical/Dental Instruments,163176748.0
NVT,nVent Electric plc Ordinary Shares ,United Kingdom,Industrials,Industrial Machinery/Components,165141252.0
NVTA,Invitae Corporation Common Stock,United States,Health Care,Medical Specialities,264811198.0
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),United Kingdom,Finance,Commercial Banks,2712183750.0
NWN,Northwest Natural Holding Company Common Stock,United States,Utilities,Oil/Gas Transmission,35761192.0
NX,Quanex Building Products Corporation Common Stock,United States,Industrials,Metal Fabrications,32206966.0
NXC,Nuveen California Select Tax-Free Income Portfolio Common Stock,United States,Finance,Investment Managers,
NXJ,Nuveen New Jersey Qualified Municipal Fund ,United States,Finance,Finance/Investors Services,
NXN,Nuveen New York Select Tax-Free Income Portfolio Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
NXP,Nuveen Select Tax Free Income Portfolio Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
NXRT,NexPoint Residential Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,22724334.0
NYCB,New York Community Bancorp Inc. Common Stock,United States,Finance,Banks,669503404.0
NYT,New York Times Company (The) Common Stock,United States,Consumer Discretionary,Newspapers/Magazines,152776270.0
NZF,Nuveen Municipal Credit Income Fund ,United States,Finance,Finance Companies,
O,Realty Income Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts,707696035.0
OBK,Origin Bancorp Inc. Common Stock,United States,Finance,Major Banks,29084611.0
OC,Owens Corning Inc Common Stock New,United States,Industrials,Industrial Machinery/Components,89338921.0
OCFT,OneConnect Financial Technology Co. Ltd. American Depositary Shares each representing thirty ordinary shares,China,Technology,Computer Software: Programming Data Processing,12530998.0
OCN,Ocwen Financial Corporation NEW Common Stock,United States,Finance,Finance: Consumer Services,5543567.0
ODC,Oil-Dri Corporation Of America Common Stock,United States,Consumer Discretionary,Miscellaneous manufacturing industries,4868960.0
OEC,Orion S.A. Common Shares,Luxembourg,Industrials,Major Chemicals,56793553.0
OFC,Corporate Office Properties Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts,111693063.0
OFG,OFG Bancorp Common Stock,Puerto Rico,Finance,Major Banks,46114115.0
OGE,OGE Energy Corp Common Stock,United States,Utilities,Electric Utilities: Central,199492223.0
OGN,Organon & Co. Common Stock ,United States,Health Care,Biotechnology: Pharmaceutical Preparations,255164523.0
OGS,ONE Gas Inc. Common Stock,United States,Utilities,Oil/Gas Transmission,54406853.0
OHI,Omega Healthcare Investors Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,244027665.0
OI,O-I Glass Inc. Common Stock,United States,Consumer Discretionary,Containers/Packaging,153025549.0
OIA,Invesco Municipal Income Opportunities Trust Common Stock,United States,Finance,Finance Companies,
OII,Oceaneering International Inc. Common Stock,United States,Energy,Oilfield Services/Equipment,99110645.0
OIS,Oil States International Inc. Common Stock,United States,Industrials,Metal Fabrications,61791515.0
OKE,ONEOK Inc. Common Stock,United States,Utilities,Oil & Gas Production,444447090.0
OLN,Olin Corporation Common Stock,United States,Industrials,Major Chemicals,125223524.0
OLO,Olo Inc. Class A Common Stock,United States,Finance,Major Banks,104778166.0
OLP,One Liberty Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,18139736.0
OMC,Omnicom Group Inc. Common Stock,United States,Consumer Discretionary,Advertising,195577803.0
OMF,OneMain Holdings Inc. Common Stock,United States,Finance,Finance: Consumer Services,119883802.0
OMI,Owens & Minor Inc. Common Stock,United States,Health Care,Medical Specialities,69151632.0
ONL,Orion Office REIT Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,50909896.0
ONTF,ON24 Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,26030164.0
ONTO,Onto Innovation Inc. Common Stock,United States,Industrials,Industrial Machinery/Components,48556498.0
OOMA,Ooma Inc. Common Stock,United States,Technology,EDP Services,18469506.0
OPAD,Offerpad Solutions Inc. Class A Common Stock,United States,Finance,Real Estate,14096281.0
OPP,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. Common Stock,United States,Finance,Finance/Investors Services,
OPY,Oppenheimer Holdings Inc. Class A Common Stock (DE),United States,Finance,Investment Bankers/Brokers/Service,6847246.0
ORA,Ormat Technologies Inc. Common Stock,United States,Utilities,Electric Utilities: Central,53455737.0
ORAN,Orange,France,Telecommunications,Telecommunications Equipment,1758304622.0
ORC,Orchid Island Capital Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,43772042.0
ORCL,Oracle Corporation Common Stock,United States,Technology,Computer Software: Prepackaged Software,1560861781.0
ORI,Old Republic International Corporation Common Stock,United States,Finance,Property-Casualty Insurers,262875229.0
ORN,Orion Group Holdings Inc. Common,United States,Industrials,Military/Government/Technical,29047722.0
OSG,Overseas Shipholding Group Inc. Class A Common Stock,United States,Energy,Oil & Gas Production,49112901.0
OSK,Oshkosh Corporation (Holding Company)Common Stock,United States,Consumer Discretionary,Auto Manufacturing,57560294.0
OUST,Ouster Inc. Common Stock,United States,Technology,Industrial Machinery/Components,31782949.0
OUT,OUTFRONT Media Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,145806989.0
OVV,Ovintiv Inc. (DE),Canada,Energy,Oil & Gas Production,240843635.0
OWL,Blue Owl Capital Inc. Class A Common Stock,United States,Finance,Investment Managers,358055017.0
OXM,Oxford Industries Inc. Common Stock,United States,Consumer Discretionary,Apparel,15138604.0
OXY,Occidental Petroleum Corporation Common Stock,United States,Energy,Oil & Gas Production,881895140.0
PAC,Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares),Mexico,Consumer Discretionary,Aerospace,5934666886.0
PACK,Ranpak Holdings Corp Class A Common Stock,United States,Consumer Discretionary,Containers/Packaging,38310656.0
PAG,Penske Automotive Group Inc. Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,18306527.0
PAGS,PagSeguro Digital Ltd. Class A Common Shares,Cayman Islands,Technology,EDP Services,189536222.0
PAI,Western Asset Investment Grade Income Fund Inc.,United States,Finance,Trusts Except Educational Religious and Charitable,
PAM,Pampa Energia S.A.,Argentina,Utilities,Electric Utilities: Central,15700310.0
PAR,PAR Technology Corporation Common Stock,United States,Miscellaneous,Office Equipment/Supplies/Services,25478343.0
PARR,Par Pacific Holdings Inc.  Common Stock,United States,Energy,Oil & Gas Production,56082741.0
PATH,UiPath Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,402061517.0
PAXS,PIMCO Access Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers,
PAY,Paymentus Holdings Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,16621287.0
PAYC,Paycom Software Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,49003489.0
PB,Prosperity Bancshares Inc. Common Stock,United States,Finance,Major Banks,89840470.0
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),Canada,Energy,Oil & Gas Production,548731182.0
PBF,PBF Energy Inc. Class A Common Stock,United States,Energy,Integrated oil Companies,109237196.0
PBH,Prestige Consumer Healthcare Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,49135163.0
PBI,Pitney Bowes Inc. Common Stock,United States,Miscellaneous,Office Equipment/Supplies/Services,153741328.0
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,Brazil,Energy,Oil & Gas Production,4133968264.0
PBT,Permian Basin Royalty Trust Common Stock,United States,Energy,Oil & Gas Production,37799267.0
PCF,High Income Securities Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,
PCG,Pacific Gas & Electric Co. Common Stock,United States,Utilities,Power Generation,2016500373.0
PCK,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable,
